P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,Oemp1,Oemp2,Oemp3,Oemp4,Oemp5,Oemp6,Oemp7,Oemp8,Oemp9,Oemp10,Oemp11,Oemp12,Oemp13,Oemp14,Oemp15,Oemp16,Oemp17,Oemp18,TEN,PO,Organization,,,
5,5,5,5,4,4,5,5,5,4,5,5,4,5,4,4,5,4,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,3,8,0,3,,0,0
4,5,5,4,4,5,4,5,4,4,4,5,3,3,5,4,4,3,4,3,4,3,4,5,3,4,4,5,3,5,4,4,3,5,4,3,5,0,3,,0,0
3,4,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,5,0,3,,0,0
5,4,5,4,4,4,4,4,5,4,4,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,7,1,3,,0,0
4,4,5,4,4,5,4,4,4,4,4,4,3,3,4,4,4,5,3,3,3,3,3,2,3,3,4,4,2,2,3,3,3,3,4,2,1,0,3,,0,0
4,4,5,5,5,4,3,4,5,5,5,5,4,3,5,4,5,3,4,4,5,5,5,4,4,4,5,5,5,5,2,3,3,3,2,4,5,0,3,,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,0,3,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7.3,0,3,,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,3,,1,0
5,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,5,5,5,3,3,3,3,3,3,3,3,8,0,3,,1,0
5,5,4,5,4,4,4,5,4,4,5,5,4,4,4,4,5,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,7.3,0,3,,0,0
5,4,5,3,4,2,4,4,4,3,4,4,3,4,4,4,4,3,2,2,3,2,3,4,3,4,3,3,4,4,4,3,4,5,4,4,21,1,3,,0,0
4,5,4,4,4,4,3,5,5,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,5,3,3,3,3,5,4,5,3,5,5,15,0,3,,0,0
5,5,5,5,5,3,5,4,5,4,4,5,5,5,4,5,5,4,4,3,4,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,6,0,3,,0,0
4,5,4,4,4,3,4,4,5,3,5,5,4,4,4,4,4,3,4,4,4,3,3,4,4,4,5,3,4,4,4,4,3,4,4,4,9,0,3,,0,0
5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,4,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,30,0,3,,1,0
4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,1,3,,0,0
5,5,5,5,5,4,4,4,4,3,5,5,4,4,4,4,5,3,5,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,9,0,3,,0,0
4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,0,3,,0,0
5,4,5,4,4,3,4,4,5,4,5,4,4,4,4,4,3,4,5,5,5,5,3,3,4,5,5,3,3,4,5,4,4,5,4,5,10,0,3,,0,0
5,5,5,5,4,4,3,5,5,5,4,4,5,5,5,5,5,3,5,5,5,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,13,1,3,,1,1
4,3,4,4,3,3,3,4,5,5,5,5,4,3,5,5,5,4,2,1,2,2,3,3,2,3,3,3,2,3,2,3,3,3,3,2,2,0,3,,0,0
3,3,4,5,4,3,4,4,5,3,5,4,4,3,4,3,4,5,2,2,4,4,3,3,4,4,4,3,3,4,3,3,4,3,3,4,1,0,3,,0,0
5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,4,4,5,5,5,5,5,5,5,5,4,5,4,5,5,1,0,3,,1,0
4,4,5,4,4,4,4,4,4,5,4,4,3,4,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,1,3,,0,0
5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,3,3,3,12,0,3,,0,0
5,5,5,5,4,4,3,5,5,5,5,4,4,5,5,5,5,3,5,5,5,5,4,4,3,4,5,5,5,4,4,5,4,5,4,4,5,0,3,,0,0
3,3,4,4,3,3,4,4,5,4,5,5,4,5,4,5,4,5,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,3,5,7,0,3,,0,0
4,4,5,3,5,3,5,5,5,4,4,4,4,5,5,5,5,5,2,2,4,2,4,4,5,3,5,5,3,5,5,3,4,5,3,4,5.5,0,3,,1,0
5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,1,0,3,,0,0
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,3,,1,0
3,3,4,5,4,3,2,3,3,3,4,4,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.3,1,3,,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,3,,0,0
4,5,4,5,5,4,4,4,5,4,5,5,4,4,4,4,5,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,8,0,3,,0,0
4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,0,3,,0,0
4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,8,0,3,,0,0
5,5,5,3,4,4,3,4,5,5,5,5,4,3,4,3,4,4,4,4,4,3,3,3,3,5,4,3,4,4,4,3,4,4,4,5,4,0,3,,1,0
4,3,3,4,5,3,4,4,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,22,0,4,,0,0
5,5,5,5,5,4,5,3,5,3,4,5,3,5,5,5,5,4,2,3,1,2,4,3,4,3,5,3,3,3,5,5,4,5,4,4,2,0,4,,0,0
5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,4,,0,0
4,4,4,4,4,3,3,4,4,3,4,4,3,3,4,3,4,3,3,2,3,3,3,3,3,4,4,3,3,3,4,3,3,4,4,4,22,1,4,,1,1
4,3,4,4,4,4,4,4,5,4,5,5,4,5,4,4,4,5,4,3,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,9,0,4,,0,0
4,4,4,4,4,3,3,4,4,3,4,5,4,4,4,3,4,3,3,2,3,3,3,4,3,4,4,4,3,3,4,3,3,4,4,4,2,1,4,,0,0
4,4,5,4,4,5,3,4,5,4,5,4,4,4,5,5,4,3,4,3,4,4,3,3,3,4,4,4,4,4,3,4,4,5,4,3,4,0,4,,0,0
4,4,4,4,5,4,5,5,4,4,5,5,5,4,4,5,4,5,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,5,4,4,0.5,0,4,,0,0
4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,0,4,,0,0
4,4,4,4,3,3,4,4,5,5,5,4,4,4,3,4,4,4,3,3,3,3,2,2,3,4,3,3,3,3,3,3,3,4,3,3,21,0,4,,1,0
5,4,4,3,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,5,4,4,12,0,4,,0,0
4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,5,4,4,3,3,3,3,4,4,21,0,4,,0,0
4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,25,0,4,,0,0
5,5,5,4,5,4,4,3,5,3,5,5,5,5,5,4,5,4,3,3,4,4,3,3,3,3,5,3,3,3,3,3,3,3,3,3,0.5,0,4,,0,0
4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,4,3,2,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,1,0,4,,1,0
4,4,5,5,4,4,4,4,4,3,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22,0,4,,0,0
4,4,4,4,4,4,4,4,4,4,4,5,3,3,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,2,0,4,,0,0
4,4,5,4,4,3,3,5,4,3,4,4,4,3,4,4,5,3,4,3,4,3,3,3,3,4,4,3,4,4,4,4,3,4,3,3,12,0,4,,0,0
4,5,4,4,4,4,3,4,4,4,5,5,4,2,3,3,4,3,4,2,2,2,2,2,3,3,4,3,4,4,2,3,2,3,2,4,3,1,4,,0,0
4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,3,2,3,4,3,2,3,3,3,3,4,4,3,3,2,4,3,3,2,1,4,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,2,3,7,0,4,,1,0
3,3,4,3,4,4,4,3,5,4,4,3,3,4,5,3,5,4,2,3,3,3,2,3,4,2,4,4,3,3,3,3,3,4,3,3,8,1,4,,1,1
4,3,3,5,4,4,5,5,5,5,5,4,4,3,3,3,3,3,4,3,3,3,3,4,4,4,5,5,5,3,4,4,3,5,5,5,9,1,4,,0,0
3,3,2,4,3,3,5,5,5,5,4,3,3,5,4,4,5,3,3,2,2,4,3,3,5,4,5,4,3,3,3,5,3,4,3,3,2,0,4,,0,0
4,4,4,5,5,3,4,4,3,3,5,5,4,4,4,4,5,4,5,5,5,5,5,3,5,5,5,5,4,4,4,4,4,5,5,5,1,0,4,,1,0
4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,3,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,5,0,4,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,4,3,3,3,4,4,4,4,3,4,3,3,3,4,4,4,30,0,4,,0,0
5,5,5,5,4,4,3,4,4,5,4,4,4,5,5,5,5,4,3,2,2,2,3,4,4,4,3,2,2,3,2,3,3,2,2,3,3,0,4,,0,0
4,4,5,5,4,4,4,5,5,4,5,5,3,5,5,5,5,4,3,3,3,3,3,4,4,4,4,3,4,4,3,5,4,4,4,5,27,0,4,,0,0
4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,11,0,4,,0,0
4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,3,3,4,3,3,4,4,3,3,4,4,4,4,4,4,9,0,4,,0,0
5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,19,0,4,,1,0
4,4,5,5,4,3,4,5,5,5,5,4,4,5,5,4,5,4,4,2,4,4,3,3,3,4,5,5,3,3,4,4,3,3,4,3,9,1,4,,0,0
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,3,3,4,3,3,4,4,3,1,1,4,,0,0
5,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,5,4,4,4,5,4,5,5,5,5,18,0,4,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,4,,0,0
3,3,4,4,4,3,2,3,4,3,4,4,3,3,4,4,4,2,2,2,2,2,2,3,2,3,4,4,3,3,3,3,3,3,4,4,8,0,4,,0,0
4,4,4,2,3,3,4,4,3,3,4,4,3,4,4,3,4,4,4,2,4,3,3,3,4,4,3,3,4,3,3,4,4,3,4,4,16,0,4,,0,0
5,5,5,3,3,1,4,4,5,5,5,5,3,4,3,4,3,3,5,2,5,3,2,1,4,4,4,4,3,3,2,2,2,4,4,3,3,0,4,,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,4,,0,0
4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,1,4,,1,1
4,5,5,3,4,4,4,4,4,4,5,5,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,4,4,1,2,4,1,2,4,19,0,4,,1,0
4,4,4,4,4,3,4,4,4,3,4,4,3,5,3,3,4,3,3,4,4,3,3,2,4,4,4,3,4,3,3,3,3,2,3,3,12.5,1,4,,0,0
4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,2,0,4,,0,0
5,5,5,5,5,4,5,4,5,4,5,5,4,5,5,4,5,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,0,4,,0,0
5,3,5,3,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,1,2,2,3,4,4,4,3,3,3,3,3,3,2,4,19,1,4,,0,0
5,5,5,4,4,4,4,4,5,4,5,5,4,4,5,4,5,1,1,1,2,3,2,2,4,4,4,3,1,1,1,2,2,1,2,3,2,1,4,,0,0
4,4,4,4,4,4,4,4,5,4,5,5,5,3,4,4,4,3,4,3,4,4,4,4,4,4,5,4,4,3,3,3,3,4,3,3,1,1,4,,0,0
5,5,5,4,4,4,5,4,5,5,5,5,3,4,5,5,5,4,3,4,3,3,3,3,5,4,5,5,3,3,5,5,5,5,5,5,7,0,4,,1,0
4,4,4,4,4,4,4,5,5,4,5,5,4,4,4,5,4,4,4,4,4,3,3,4,5,5,5,4,4,5,4,4,4,4,4,4,0,0,4,,0,0
